method,run,run_started_at,runtime_seconds,target,mae,rmse,r2
PINN20260512-HS,8,2026-05-12T09:41:36,2.02536,max_thickness,393.567626953125,640.6807902536176,0.8801720142364502
PINN20260512-HS,8,2026-05-12T09:41:36,2.02536,min_thickness,416.35577392578125,666.9624942603594,0.8424781560897827
PINN20260512-HS,8,2026-05-12T09:41:36,2.02536,deposition_rate,379.51641845703125,501.60722931393246,0.9240937232971191
PINN20260512-HS,8,2026-05-12T09:41:36,2.02536,uniformity_range,0.7617704272270203,1.1536520045727499,0.23322820663452148
PINN20260512-HS,8,2026-05-12T09:41:36,2.02536,uniformity_1sigma,0.4785012900829315,0.6595019647657209,0.26919347047805786
PINN20260512-HS,8,2026-05-12T09:41:36,2.02536,ri,0.004023375455290079,0.005936766856329548,0.3826810121536255
PINN20260512-HS,8,2026-05-12T09:41:36,2.02536,stress,49.10646057128906,67.44671290753352,0.5986868143081665
PINN20260512-HS,9,2026-05-12T09:42:14,1.758495,thickness,356.7211608886719,715.150858211049,0.7792830467224121
PINN20260512-HS,9,2026-05-12T09:42:14,1.758495,max_thickness,497.7760314941406,992.7449949508685,0.7060067653656006
PINN20260512-HS,9,2026-05-12T09:42:14,1.758495,min_thickness,360.9306945800781,737.2098157919494,0.7400318384170532
PINN20260512-HS,9,2026-05-12T09:42:14,1.758495,deposition_rate,403.71917724609375,680.0891255931093,0.9205222725868225
PINN20260512-HS,9,2026-05-12T09:42:14,1.758495,uniformity_range,0.3822363018989563,0.5581794482816378,0.7530078887939453
PINN20260512-HS,9,2026-05-12T09:42:14,1.758495,uniformity_1sigma,0.22543631494045258,0.31725786537313316,0.7108047008514404
PINN20260512-HS,9,2026-05-12T09:42:14,1.758495,ri,0.0023722907062619925,0.0028833079274898123,0.10869884490966797
PINN20260512-HS,9,2026-05-12T09:42:14,1.758495,stress,44.926998138427734,57.53851461466919,0.1612757444381714
PINN20260512-HS,10,2026-05-12T09:42:50,1.807943,thickness,170.95126342773438,230.20415531653637,0.9859498739242554
PINN20260512-HS,10,2026-05-12T09:42:50,1.807943,max_thickness,222.093994140625,289.466872564893,0.9792733788490295
PINN20260512-HS,10,2026-05-12T09:42:50,1.807943,min_thickness,185.64442443847656,249.45694142476773,0.9822666049003601
PINN20260512-HS,10,2026-05-12T09:42:50,1.807943,deposition_rate,359.5524597167969,510.37054553530027,0.9530501961708069
PINN20260512-HS,10,2026-05-12T09:42:50,1.807943,uniformity_range,0.3862951099872589,0.5623530884794359,0.7178467512130737
PINN20260512-HS,10,2026-05-12T09:42:50,1.807943,uniformity_1sigma,0.20809340476989746,0.2729335773606305,0.7611767053604126
PINN20260512-HS,10,2026-05-12T09:42:50,1.807943,ri,0.003063017735257745,0.004056875840980909,0.534198522567749
PINN20260512-HS,10,2026-05-12T09:42:50,1.807943,stress,36.772274017333984,43.45320365868465,0.7549694776535034
